,Unnamed: 0,block,browser,color,cookies,correct,cpt_response,current_time,inter_stimulus_interval_index,inter_stimulus_interval_time,is_fullscreen,key_press,mobile,os,response,responses,rt,shape,stimulus,stimulus_block,stimulus_side,sub_block,subject,tags1,tags2,time_elapsed,time_post_trial,trial_began,trial_index,trial_type,type,stimulus_missed,is_cpt_stimulus
42318,89.0,,,#FF0000,,,0.0,1.7200000286102295,,,,,,,,,,square,,,,,,,,376726.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42320,91.0,,,#FFFF00,,1.0,1.0,1.9539999961853027,,,,,,,32.0,,,triangle,,,,,,,,376960.0,,,15.0,conjunctive-cpt,,,False
42326,97.0,,,#FF0000,,,0.0,6.569000005722046,,,,,,,,,,square,,,,,,,,381575.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42328,99.0,,,#FFFF00,,1.0,1.0,6.898000001907349,,,,,,,32.0,,,triangle,,,,,,,,381904.0,,,15.0,conjunctive-cpt,,,False
42332,103.0,,,#FF0000,,,0.0,9.287000179290771,,,,,,,,,,square,,,,,,,,384293.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42334,105.0,,,#FFFF00,,1.0,1.0,9.537000179290771,,,,,,,32.0,,,triangle,,,,,,,,384543.0,,,15.0,conjunctive-cpt,,,False
42338,109.0,,,#FF0000,,,0.0,13.504000186920166,,,,,,,,,,square,,,,,,,,388510.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42340,111.0,,,#FFFF00,,1.0,1.0,13.76200008392334,,,,,,,32.0,,,triangle,,,,,,,,388768.0,,,15.0,conjunctive-cpt,,,False
42358,129.0,,,#FF0000,,,0.0,31.00500011444092,,,,,,,,,,square,,,,,,,,406011.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42360,131.0,,,#FFFF00,,1.0,1.0,31.170000076293945,,,,,,,32.0,,,triangle,,,,,,,,406176.0,,,15.0,conjunctive-cpt,,,False
42364,135.0,,,#FF0000,,,0.0,33.73100018501282,,,,,,,,,,square,,,,,,,,408737.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42366,137.0,,,#FFFF00,,1.0,1.0,34.11300015449524,,,,,,,32.0,,,triangle,,,,,,,,409119.0,,,15.0,conjunctive-cpt,,,False
42372,143.0,,,#FF0000,,,0.0,39.56500005722046,,,,,,,,,,square,,,,,,,,414571.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42374,145.0,,,#FFFF00,,1.0,1.0,39.85700011253357,,,,,,,32.0,,,triangle,,,,,,,,414863.0,,,15.0,conjunctive-cpt,,,False
42376,147.0,,,#FF0000,,,0.0,41.687999963760376,,,,,,,,,,square,,,,,,,,416694.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42378,149.0,,,#FFFF00,,1.0,1.0,42.08200001716614,,,,,,,32.0,,,triangle,,,,,,,,417088.0,,,15.0,conjunctive-cpt,,,False
42384,155.0,,,#FF0000,,,0.0,48.02300000190735,,,,,,,,,,square,,,,,,,,423029.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42386,157.0,,,#FFFF00,,1.0,1.0,48.27300000190735,,,,,,,32.0,,,triangle,,,,,,,,423279.0,,,15.0,conjunctive-cpt,,,False
42392,163.0,,,#FF0000,,,0.0,52.36600017547608,,,,,,,,,,square,,,,,,,,427372.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42394,165.0,,,#FFFF00,,1.0,1.0,52.64199995994568,,,,,,,32.0,,,triangle,,,,,,,,427648.0,,,15.0,conjunctive-cpt,,,False
42398,169.0,,,#FF0000,,,0.0,56.08300018310547,,,,,,,,,,square,,,,,,,,431089.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42400,171.0,,,#FFFF00,,1.0,1.0,56.43400001525879,,,,,,,32.0,,,triangle,,,,,,,,431440.0,,,15.0,conjunctive-cpt,,,False
42402,173.0,,,#FF0000,,,0.0,57.20000004768372,,,,,,,,,,square,,,,,,,,432206.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42404,175.0,,,#FFFF00,,1.0,1.0,57.63300013542175,,,,,,,32.0,,,triangle,,,,,,,,432639.0,,,15.0,conjunctive-cpt,,,False
42418,189.0,,,#FF0000,,,0.0,69.99200010299683,,,,,,,,,,square,,,,,,,,444998.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42420,191.0,,,#FFFF00,,1.0,1.0,70.25800013542175,,,,,,,32.0,,,triangle,,,,,,,,445264.0,,,15.0,conjunctive-cpt,,,False
42422,193.0,,,#FF0000,,,0.0,72.61800003051758,,,,,,,,,,square,,,,,,,,447624.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42424,195.0,,,#FFFF00,,1.0,1.0,73.07400012016296,,,,,,,32.0,,,triangle,,,,,,,,448080.0,,,15.0,conjunctive-cpt,,,False
42436,207.0,,,#FF0000,,,0.0,82.29500007629395,,,,,,,,,,square,,,,,,,,457301.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42438,209.0,,,#FFFF00,,1.0,1.0,82.56200003623962,,,,,,,32.0,,,triangle,,,,,,,,457568.0,,,15.0,conjunctive-cpt,,,False
42442,213.0,,,#FF0000,,,0.0,86.51500010490417,,,,,,,,,,square,,,,,,,,461522.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42444,215.0,,,#FFFF00,,1.0,1.0,86.78500008583069,,,,,,,32.0,,,triangle,,,,,,,,461791.0,,,15.0,conjunctive-cpt,,,False
42448,219.0,,,#FF0000,,,0.0,90.23600006103516,,,,,,,,,,square,,,,,,,,465242.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42450,221.0,,,#FFFF00,,1.0,1.0,90.5770001411438,,,,,,,32.0,,,triangle,,,,,,,,465583.0,,,15.0,conjunctive-cpt,,,False
42452,223.0,,,#FF0000,,,0.0,91.34400010108948,,,,,,,,,,square,,,,,,,,466350.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42454,225.0,,,#FFFF00,,1.0,1.0,91.79299998283386,,,,,,,32.0,,,triangle,,,,,,,,466799.0,,,15.0,conjunctive-cpt,,,False
42458,229.0,,,#FF0000,,,0.0,94.57000017166138,,,,,,,,,,square,,,,,,,,469576.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42460,231.0,,,#FFFF00,,1.0,1.0,94.92900013923644,,,,,,,32.0,,,triangle,,,,,,,,469935.0,,,15.0,conjunctive-cpt,,,False
42462,233.0,,,#FF0000,,,0.0,97.19500017166138,,,,,,,,,,square,,,,,,,,472201.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42464,235.0,,,#FFFF00,,1.0,1.0,97.55299997329712,,,,,,,32.0,,,triangle,,,,,,,,472559.0,,,15.0,conjunctive-cpt,,,False
42466,237.0,,,#FF0000,,,0.0,98.80299997329712,,,,,,,,,,square,,,,,,,,473809.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42468,239.0,,,#FFFF00,,1.0,1.0,99.10500001907349,,,,,,,32.0,,,triangle,,,,,,,,474111.0,,,15.0,conjunctive-cpt,,,False
42474,245.0,,,#FF0000,,,0.0,103.63700008392334,,,,,,,,,,square,,,,,,,,478643.0,,,15.0,conjunctive-cpt,jspsych-conjunctive-cpt,,True
42476,247.0,,,#FFFF00,,1.0,1.0,104.04900002479552,,,,,,,32.0,,,triangle,,,,,,,,479055.0,,,15.0,conjunctive-cpt,,,False
